类型,测量尺寸,重量(g),单位编号,动物编号,测量时间,模式,图片,操作,坐标数据,标记选择,测量参数,修改时间
螺丝,螺旋部宽:18.5mm;第二螺层宽:8.7mm;壳口宽:14.7mm;壳宽:19.5mm;螺旋部高:16.9mm;体螺层高:21.0mm;第二螺层高:4.6mm;第一螺层高:7.7mm;壳口高:13.4mm;壳高:30.3mm;,0,1,3,2024-04-09 12:44:12,拍摄,1_3_20240409_124412,删除,859;338;788;408;657;469;531;345;490;274;476;199;535;186;593;192;690;235;753;222;375;134;944;137;939;578;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:44:12
螺丝,螺旋部宽:18.7mm;第二螺层宽:9.2mm;壳口宽:16.5mm;壳宽:21.8mm;螺旋部高:18.8mm;体螺层高:23.7mm;第二螺层高:5.5mm;第一螺层高:7.8mm;壳口高:15.9mm;壳高:34.7mm;,0,1,2,2024-04-09 12:43:57,拍摄,1_2_20240409_124357,删除,876;338;793;426;641;493;512;373;458;295;437;207;506;192;576;199;675;256;754;217;375;133;945;140;937;581;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:43:57
螺丝,螺旋部宽:14.2mm;第二螺层宽:6.9mm;壳口宽:12.2mm;壳宽:16.3mm;螺旋部高:16.0mm;体螺层高:17.1mm;第二螺层高:4.5mm;第一螺层高:6.9mm;壳口高:10.2mm;壳高:26.3mm;,0,1,1,2024-04-09 12:43:14,拍摄,1_1_20240409_124314,删除,829;339;788;404;683;452;590;366;548;315;518;251;573;234;626;237;708;284;754;259;396;130;929;124;930;564;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:43:14
螺丝,螺旋部宽:17.6mm;第二螺层宽:9.3mm;壳口宽:14.1mm;壳宽:19.1mm;螺旋部高:17.8mm;体螺层高:20.4mm;第二螺层高:4.7mm;第一螺层高:8.2mm;壳口高:12.2mm;壳高:30.0mm;,0,1,12,2024-04-09 12:42:59,拍摄,1_12_20240409_124259,删除,845;331;783;409;650;473;532;366;485;300;460;224;523;209;583;212;688;247;746;228;371;127;949;124;945;565;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:42:59
螺丝,螺旋部宽:17.2mm;第二螺层宽:7.8mm;壳口宽:14.5mm;壳宽:18.1mm;螺旋部高:15.3mm;体螺层高:18.4mm;第二螺层高:4.0mm;第一螺层高:7.4mm;壳口高:11.0mm;壳高:26.3mm;,0,1,11,2024-04-09 12:42:19,拍摄,1_11_20240409_124219,删除,830;367;784;435;674;475;581;371;550;319;537;264;580;249;625;250;707;284;755;274;419;127;920;134;913;569;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:42:19
螺丝,螺旋部宽:16.5mm;第二螺层宽:8.4mm;壳口宽:13.7mm;壳宽:17.6mm;螺旋部高:15.1mm;体螺层高:18.7mm;第二螺层高:4.3mm;第一螺层高:7.2mm;壳口高:11.5mm;壳高:26.6mm;,0,1,10,2024-04-09 12:41:58,拍摄,1_10_20240409_124158,删除,831;362;782;426;672;472;573;377;535;325;518;268;561;249;611;249;696;278;747;265;401;127;930;131;927;569;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:41:58
螺丝,螺旋部宽:18.6mm;第二螺层宽:10.7mm;壳口宽:14.2mm;壳宽:19.8mm;螺旋部高:19.2mm;体螺层高:21.7mm;第二螺层高:4.7mm;第一螺层高:9.3mm;壳口高:12.4mm;壳高:31.5mm;,0,1,9,2024-04-09 12:41:20,拍摄,1_9_20240409_124120,删除,863;349;806;422;672;494;549;393;492;329;458;254;524;232;584;230;704;255;764;240;372;127;950;128;944;570;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:41:20
螺丝,螺旋部宽:18.8mm;第二螺层宽:9.7mm;壳口宽:15.0mm;壳宽:21.0mm;螺旋部高:20.5mm;体螺层高:22.9mm;第二螺层高:5.5mm;第一螺层高:9.2mm;壳口高:13.7mm;壳高:34.2mm;,0,1,8,2024-04-09 12:41:02,拍摄,1_8_20240409_124102,删除,878;340;810;421;671;498;535;383;480;317;442;237;516;215;586;216;703;259;763;230;374;129;947;127;944;567;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:41:02
螺丝,螺旋部宽:16.5mm;第二螺层宽:8.5mm;壳口宽:13.5mm;壳宽:18.2mm;螺旋部高:18.8mm;体螺层高:20.5mm;第二螺层高:5.2mm;第一螺层高:8.2mm;壳口高:12.4mm;壳高:31.2mm;,0,1,7,2024-04-09 12:40:46,拍摄,1_7_20240409_124046,删除,859;396;795;468;662;528;549;426;493;358;463;276;532;263;598;270;702;318;764;297;370;136;942;141;934;583;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:40:46
螺丝,螺旋部宽:17.1mm;第二螺层宽:9.5mm;壳口宽:13.2mm;壳宽:18.2mm;螺旋部高:18.1mm;体螺层高:20.2mm;第二螺层高:4.9mm;第一螺层高:8.6mm;壳口高:11.6mm;壳高:29.7mm;,0,1,6,2024-04-09 12:40:18,拍摄,1_6_20240409_124018,删除,839;340;783;410;655;474;535;376;484;308;459;239;518;218;581;219;691;255;743;241;371;130;947;128;945;569;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;,螺旋部宽:3;9;1;第二螺层宽:4;9;1;壳口宽:2;10;1;壳宽:3;10;1;螺旋部高:6;9;0;体螺层高:8;1;0;第二螺层高:7;8;0;第一螺层高:8;9;0;壳口高:9;1;0;壳高:6;1;0;,2024-04-09 12:40:18
