gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126980185,4.02,6.11,3.73,9.47,7.72,30.18,5.27,9.02,10.58,33.71,42.45,23.04,4.53,5.44,5.14,10.58,20.06,7.08,1.91,1.91,2.2,4.58,7.97,6.35,16.22,9.2,6.37,4.53,2.05,2.91
LOC126980186,2.97,3.58,2.4,0.43,0.93,1.5,7.71,3.31,7.91,0.53,1.6,1.23,55.15,38.73,30.34,2.89,1.12,2.99,0.53,0.47,0.86,0.2,0.39,0.93,0.73,0.83,0.33,0.08,0.03,0.1
LOC126980187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,3.56,4.53,0,0,0,0,0,0
LOC126980188,0.34,2.74,2.65,7.83,15.3,1.81,1.97,2.81,10.86,0.91,0.72,1.3,1.54,4.2,4.3,2.76,9.69,1.02,0,1.21,2.11,0.72,1.74,2.16,1.8,4.92,1.22,0,0.7,0.51
LOC126980189,30.46,56.65,2.03,101.32,48.24,8.14,79.23,128.1,37.43,64.4,2.88,19.86,39.73,56.61,21.58,3.66,94.33,7.07,36.3,43.24,11.33,43.52,80.9,19.55,152.22,99.79,34.8,1.45,3.29,6.82
LOC126980190,0,0,0.04,0,0,0,0,0.05,0.14,0,0,0,0,0,0,0.25,0,0.05,0.04,0,0,0,0,0,0,0,0.02,0,0.05,0.11
LOC126980191,1.71,4.78,4.27,6.32,12.05,2,7.87,7.3,69.14,0.68,0.03,0.6,4.77,9.76,4.07,5.23,0.48,5.92,0.41,2.04,0.95,2.03,3.68,3.78,1.29,1.68,0.98,3.03,5.95,2.71
LOC126980192,1.47,2.78,0.56,4.33,0.14,7,0.35,0.27,0.09,8.02,10.2,8.86,0,0.03,0,0.67,9.15,0.09,0.12,0.02,0.05,0.08,0.04,0.03,1.01,0.65,2.17,0.36,0.08,0
LOC126980193,0.07,4.29,0.09,0.09,0.16,0.32,0.03,3.61,0.06,14.75,0.15,0.17,0.01,5.72,0.09,0.14,0.1,0.19,0,2.63,0.04,0.61,8.45,0.52,2.23,7.64,1.2,0.04,0.09,0.06
LOC126980194,11.31,14.37,11.97,33.83,38.21,34.78,21.35,23.82,34.4,16.94,19.52,21.68,38.62,33.26,35.14,23.85,33.24,36.73,19.24,15.3,12.67,22.63,28.22,22.05,45.48,32.11,21.51,13.99,14.19,11.68
LOC126980195,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.04,0,0,0.05,0,0,0.09,0,0,0,0,0,0,0,0
LOC126980196,2.69,2.98,2.66,7.52,5.68,3.1,3.38,4.13,4.81,3.06,2.34,2.23,4.65,5.13,3.97,4.01,6.2,2.52,2.8,2.98,1.35,4.2,8.64,3.23,4.36,4.54,2.4,0.53,0.69,1.34
LOC126980197,0,0,0,0.07,0.45,0.15,0,0,0,0,0.07,0,0,0,0,0,0.03,0.07,0,0,0,0,0.08,0,0,0,0,0,0,0
LOC126980198,0,0,0.25,0,0,13.08,0,0,0,115.33,284.97,150.69,0,0,0,0.13,0.98,0,0,0,0,0.28,0,0,0,0,0,0,0,0
LOC126980199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
LOC126980200,3.71,24.83,6.45,43.45,1.58,1.87,3.51,5.64,2.53,1.54,0.12,0.36,31.58,33.26,22.57,90.12,0.26,9.22,5.31,7.18,18.26,1.21,5.85,1.68,3.91,8.72,5.11,1.16,2.62,3.36
LOC126980201,0.21,10.1,6.05,4.13,5.65,1.54,1.92,1.55,2.45,3.67,4.47,2.16,5.03,2.77,4.77,1.7,0.89,0.6,1.42,1.18,2.1,7.45,1.52,7.8,0.9,0.49,0.14,0.33,1.2,0.93
LOC126980202,21.44,50.4,46.13,227.24,281.49,59.66,62.8,64.51,61.94,84.38,65.82,64.99,82.93,39.21,98.52,57.17,130.56,49.79,58.21,28.26,66.53,11.35,16.11,9.69,17.04,15.35,10.64,3.41,6.96,4.31
LOC126980203,0.42,0.7,0.44,6.21,6.69,0.34,0.08,0,0,0,0,0,0.83,0.66,0.67,0.38,0.03,0.03,0.12,0.22,0.24,0.02,0,0,0,0.13,0.03,0,0.02,0.05
LOC126980204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
LOC126980205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980206,0.3,0.79,0.32,0.08,0.08,0,0,0.08,0.16,0,0,0,0.06,0,0,0.07,0,0,0,0.14,0.15,0.09,0,0,0.25,0,0.03,0,0,0
LOC126980207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,1.22,0.89,1.59,0,0,0,0,0,0
LOC126980210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980211,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0.96,0.51,0,0,0,0,0,0
LOC126980212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,1.59,0,0,0,0,0,0,0,0,0,0
LOC126980213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.14
LOC126980214,0.07,0.11,0.17,1.56,0.68,0,0,0,0,0,0,0,0.08,0.15,0,0,0,0,0,0,0.13,0,0,0,0,0.06,0.04,0,0,0
LOC126980215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.34,0.32,0,0,0,0,0,0,0,0
LOC126980216,0.91,4.19,2.48,0.75,0.33,0.77,2.83,1.98,0.61,0.83,0.89,0.74,0,0,0,4.47,0.08,0.56,0,0.18,0.06,2.32,2.9,2.18,0.08,0,0.04,0.52,1.99,1.3
LOC126980217,0,0.28,0,0,0.3,0,1.08,0,0,0,0,0,0.2,0.6,0,0.48,0,0,0,0,0,106.33,156.39,139.93,0,0.33,0.35,0,0.1,0
LOC126980218,0,0.21,0.35,0,1.86,0.53,0,0,0.68,0.08,0.05,0.36,0,0.26,0.11,0.06,0.29,0.15,0,0.06,0.12,0,0,0.04,0.38,0.08,0.85,0,0.12,0
