gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion2,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126980441,155.013336,115.238876,93.227722,0.24982,0,0.25163,0,0.125134,0,0.329298,0.440896,0.358525,0,0,0,2.331804,0,0.671212,1262.907959,1095.005493,1584.742188,0,0,0,0,0.382329,20.620115,0.182017,0.509484,1.533638
LOC126980444,3.487264,2.235023,2.711078,0.198373,0,0,0,0,0,1.284223,0.99054,1.143054,0,0,0,48.999439,0,35.4916,4.770846,15.340077,13.737637,0,0,0,0.284644,572.215637,5249.445801,0.247188,0.113405,0.252759
LOC126980450,4.894426,4.530399,5.010025,0,0,0,0,0,0,2.541269,0.670218,1.870296,0,0,0,0.624321,0,0.419286,41.511532,17.381657,41.972038,0,0,0,0,2.102797,9.21427,0.032865,0.098125,0.047998
LOC126980451,46.156487,20.423326,24.248293,0.772095,0.323665,0.178537,0,0.398882,0.416474,6.649395,4.536573,7.410253,0,0,0.240811,9.039504,0,5.582361,57.182198,126.319588,40.272282,0,0,0,0.503532,3732.523682,7158.715332,0.055277,0.161251,0.49459
LOC126980519,0.279934,2.115194,2.620401,42.56781,11.542676,4.247477,0.101227,0,0,0.068466,0.051435,0.194323,0.053918,0.612483,0.064727,0.599781,0.456411,0.163707,0.181473,0.126604,1.065473,4.230181,0.978794,5.006924,0.142366,0.087501,0.116345,0.061921,0,0.02307
LOC126980556,0.560184,2.11514,0.485264,7.354838,7.685779,0,1.207792,0.149405,0.186275,1.55344,2.1314,1.158858,0,0,0,1.525965,0,0,1.315497,1.347019,3.613296,0.411393,3.520034,1.132267,0.506046,0.513294,0,0.163806,0.155029,0
LOC126980757,0.570362,1.137695,2.093288,3.9276,1.624035,3.059212,1.466589,0.657067,0.374623,1.848725,0.160709,0.430125,1.491326,2.715411,0.654657,7.685292,1.839688,1.735891,0.130286,0,0.2067,1.338451,1.406994,0.785011,0.530504,0.559148,0,0.218205,0.453385,0.338075
LOC126980763,5.348547,2.924381,4.262113,11.40794,11.818865,8.96564,19.402378,9.986115,19.240057,8.074832,10.372643,12.197751,4.585985,2.020393,5.845917,2.376509,22.390478,2.516809,3.378685,5.899323,5.050385,10.20254,12.129268,16.572565,7.789066,8.990668,12.24893,0,1.452322,0.853053
LOC126980768,0,1.23265,0.686221,2.768889,8.324347,0.196022,0.507959,0,0,0,0.181286,0,0,0,0,0,0,0,0,0,0,0.116682,0.202048,0.188232,0,0,0,0,0,0
LOC126980797,0,0,0,0,2.246675,0,0,0,1.214722,0,0,0,0,0,0,0,0,0,0,0,0.140621,0.038036,0,0,0,0,0.067104,0,0.051423,0
LOC126980803,0,0,0,0,0,0,0,0,0,0,0,0,0.081921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981303,0,0,0,0,0.159036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344124,0,0,0,0,0,0
LOC126981395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982016,0.28571,0.522596,0.175704,0,0.189226,0,1.705767,0.658748,2.370938,0.281932,0,0,0.098632,0.619888,1.033491,0,0.073353,0.168166,0,0.236969,0,0.300929,0,0.433334,0,0,0,0,0,0.045746
LOC126982019,0,0,0.021974,0.073998,0.04744,0.24181,0.310333,0.52003,0.756112,2.170951,1.254256,1.088688,0.047038,0.049693,0,0.565825,0.667374,0.315524,0.838122,0.487366,0.446531,0.135386,0.043598,0.112281,0.133264,0.055771,0,0.029141,0.021872,0.101454
LOC126982030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982047,0.461663,0,0,0.047491,0,0,0.416842,0,0,0,0,0,0,0.138601,0,0,0,0,0.385749,0,0,0.320263,0,0,0.608973,0,0.191708,0,0,0.264968
LOC126982051,0.085347,0,0,0.108222,0.434819,0.338619,0.038356,0,0.731425,0,0,0.235774,0,0,0,0.41998,0.271841,0,0,0.058079,0,0,0.062214,0.068306,0,0.041543,0.304169,0,0.040722,0
LOC126982164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118914,0,0,0,0,0,0,0,0
LOC126982168,0,0,0,0,0,0,0,0,0,0,0,0,5.629216,12.328807,1.738381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982290,2.161787,4.601186,1.65112,14.160468,24.275066,4.616643,5.566227,6.481229,7.551589,6.15045,14.749495,19.02774,33.73859,4.959098,30.528397,682.209534,0.961264,422.796967,0.505692,0.277155,1.453418,24.350813,36.851288,92.083359,1.676561,5.286428,5.880966,0.25858,0.4019,0.199654
LOC126982300,0.043729,3.203135,2.079315,1.839902,1.233623,0.449242,3.440264,2.457274,2.279619,0,0.3499,0.076625,0.196486,0,0,5.708598,0.23916,1.994134,0,0.321226,0.152688,2.932065,6.59008,1.988922,1.509624,0.621642,0.147161,0.20874,1.761464,2.296928
LOC126982375,30.584179,78.753036,23.398472,293.082733,120.239159,29.876183,71.701157,41.298328,34.846462,69.656456,59.225033,70.777184,4.79629,0.491042,1.152173,271.041016,0.856663,70.629799,11.353784,12.921945,20.881979,5.015042,16.416122,5.29451,15.990323,28.104347,17.156162,1.595152,1.472146,1.859776
LOC126982386,0,0,0,0.229891,0.040174,0.133884,0.021461,0,0,0.064859,0,0,0.192896,0.408433,0,0.127974,0,0.024036,0.091029,0,0,0.056334,0.021954,0.0344,0,0.026718,0.022581,0,0.032499,0
LOC126982387,1.368943,2.019173,1.175437,7.785859,4.952007,1.994368,2.590718,1.505633,1.464615,2.74691,1.945908,1.445712,16.327755,25.309954,6.884861,1.266615,3.068979,1.241453,1.82837,1.615448,1.341756,3.818532,1.830353,1.990824,5.655757,1.289525,0.401522,0.264991,1.022874,0.700595
LOC126982394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982428,0.07257,0.627301,0.249132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231425,0,0,0,0,0,0
LOC126982676,2.490373,22.538069,24.241638,38.143131,59.741322,6.582567,0.770235,1.479133,0.52393,0.580071,1.450755,0.832473,0.825146,2.034379,2.841256,1.970063,27.291029,0.524429,0.201697,0.36296,0.254143,4.261594,9.771228,4.383459,2.748069,1.771192,0.555502,0.366427,0.75317,1.743943
LOC126982823,0,0,0,0,0,0,0,0.572426,0.574329,0,0,0,0,0,0,0.054774,0,0,0,0.057031,0,0.529829,0.473124,0.463322,0,0,0.04979,0.098901,0.090542,0
LOC126982869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000512,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973007,0,1.069807,0,0,0,0,0,0
LOC126983417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983418,0,0,0,0,0,0,0.76152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983422,0,0,0,0,0,1.656253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983451,0,0.141821,0,0.602549,0,0,0,0,0,0,0.60934,0,0,0,0,0,0,0,0,0,0,3.361496,0.687987,1.283691,0,0,0,0.544404,0.161134,0
LOC126983471,0,0,0,0,0,0.170848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126983759,0.333212,0.187797,0,0.622325,0.532348,0.684572,0,0.024212,0,0,0,0,0,0,0,0.169682,0,0.096355,0,0,0.046623,1.410545,2.339302,1.690484,0.017965,0,0.111123,0,0,0
LOC126983818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984279,0.446965,0.8295,0.405374,1.795326,1.307199,1.429901,0,0.587678,0.349237,0.593346,0.99136,0.153818,0.369651,0.467312,0.349896,0.775993,0.328928,0.573828,0.487332,0.67728,0.277157,3.882576,1.288252,4.128158,0.842958,0.47793,0.353559,0.130725,0.252373,0.270904
LOC126984285,1.900206,3.876419,3.272484,17.143044,11.164997,8.366609,1.287204,1.101033,1.417897,2.886109,2.724601,2.322683,2.675706,3.4108,3.065413,13.176479,4.676664,20.140667,0.964377,1.297731,1.270659,4.259292,1.686408,4.883246,0.984642,1.897295,1.169993,0.411248,1.1747,0.462066
LOC126984348,0,0.21025,0.056498,0,0,0.301234,0,0,0,0.060277,0.14451,0.087592,0.157636,0.028499,0,0.809747,0.108214,0.602722,0.162928,0.025435,0.052681,1.997898,4.894133,3.12114,1.874049,1.164596,0.55934,0,0.047185,0.068085
LOC126984349,0.022011,0.34297,0.018071,0,0.136153,0.497118,0.104745,0.119077,0,0.08808,0.151288,0,0.253628,0.021902,0.039566,0.281389,0.121873,0.154112,0.091608,0.097145,0,2.020279,7.760563,2.910856,2.217153,3.644079,2.001599,0.081897,0.042308,0.052252
LOC126984353,0,0,0,0,0,0.131786,0,0.049839,0,0.052815,0.100548,0.005667,0.103724,0,0,0.157704,0,0.112551,0,0,0,1.144366,2.219571,1.038949,0.639394,0.51739,0.277328,0,0.091038,0.039857
LOC126984359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984404,0,0,0.093597,0,0.472291,0.163989,0.119292,0,0.020714,0.063634,0,0,0.094975,0,0,0.031602,0.041258,0.050778,0,0,0.147591,0,0.041743,0,0.140621,0,0.038388,0,0.000865,0.006152
LOC126984898,0,0,0,0.16282,0,0.114403,0,0,0,0.049983,0.054276,0.108559,0,0.100192,0.019375,0.030283,0.077704,0.087656,0,0.180343,0,0.030007,0.261688,0.059769,0.040996,0.017312,0,0.026183,0.014662,0.020592
LOC126984952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540198,0,0,0,0,0,0,0
LOC126984953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126984959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220824,0,0,0,0,0,0
LOC126984989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
