transcript_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testist3,testist4,testist6
XM_050829799.1,0,0,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0.01,0,0,0,0,0
XM_050829800.1,0,1.07,0.2,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,1.85,0,2.5,0,0,0.32,0,0,0.26,0,0,0
XM_050829801.1,0.34,2.74,1.97,5.02,12.24,1.81,1.97,2.81,9.64,1.54,3.32,0,0,0,1.3,2.76,7.84,1.02,0,1.21,2.11,0.31,1.74,1.23,1.8,4.64,0,0,0.7,0
XM_050829802.1,0,0,0,1.72,3.06,0,0,0,0.82,0,0.88,3.31,0.91,0,0,0,1.85,0,0,0,0,0,0,0.52,0,0,1.22,0,0,0
XM_050829803.1,0,0,0.68,0.41,0,0,0,0,0.4,0,0,0.99,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0.28,0,0,0,0
XM_050829804.1,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.51
XM_050829805.1,30.46,56.65,2.03,101.32,48.24,8.14,79.23,128.1,37.43,39.73,56.61,21.58,64.4,2.88,19.86,3.66,94.33,7.07,36.3,43.24,11.33,43.52,80.9,19.55,152.22,99.79,34.8,1.45,3.29,6.82
XM_050829806.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829807.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829808.1,0,0,0.04,0,0,0,0,0.05,0.14,0,0,0,0,0,0,0.25,0,0.05,0.04,0,0,0,0,0,0,0,0.02,0,0.05,0.11
XM_050829809.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829810.1,1.71,4.37,4.27,6.32,9.95,2,7.87,7.3,69.14,4.77,9.76,4.07,0.68,0.03,0.6,5.23,0.48,5.92,0.41,2.04,0.95,2.03,2.18,0.95,1.29,1.68,0.98,0,1.93,0.62
XM_050829811.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0.98,1.04
XM_050829812.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
XM_050829813.1,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,2.39,0,0,0,3.03,2.8,1.04
XM_050829814.1,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0.25,0
XM_050829815.1,0.4,1.55,0,1.06,0.04,0.23,0.05,0,0,0,0,0,0,0,0,0.27,0,0.05,0,0.01,0,0,0,0,0.15,0,0.12,0,0,0
XM_050829816.1,0,0,0,0,0.04,0,0.05,0,0,0,0,0,0.2,0,0,0,0,0.05,0,0.01,0,0,0,0,0.15,0,0.12,0,0,0
XM_050829817.1,0,0,0,0,0,0,0,0,0,0,0,0,2.59,1.19,8.75,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829818.1,0,2.71,3.46,0,0,0.39,0,0,0,2.5,4.09,0,1.64,0.6,0,0,1.43,0,4.36,3.71,0.81,0.46,0.56,0,0.44,2.1,0.42,0,0,0
XM_050829819.1,1.08,1.23,0.56,3.27,0.06,6.76,0.24,0.27,0.09,0,0.03,0,5.23,9.01,0,0.4,7.87,0,0.12,0,0.05,0.08,0.04,0.03,0.71,0.6,1.94,0.36,0.08,0
