transcript_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
XR_007754260.1,0.082805,0.479311,2.118046,1.855373,5.275141,2.838694,0.257949,0.100261,0,0,0.11073,0,0.381377,2.02318,0,0.274898,0.771429,0.322173,0,0,0,1.105419,2.869062,1.892446,0.136036,0.231221,0.122824,0,0.03376,0.149867
XM_050863983.1,0,0,0,0,0,0,0,0,0,0,0.564851,0,0.225907,0,0,0.076331,0,0,0,0,0,0,0.112239,0,0,0.012875,0,0,0.228799,0
XM_050864059.1,0,0,0,0,0,0,0,0,0,0,0,0,0.071607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056773,0
XM_050864121.1,0,0,0.0569,0,0,0,0,0,0,0,0.161123,0,0.292729,0,0,0.052356,0,0,0,0,0,0,0,0,0,0.119578,0,0,0.061664,0
XM_050863898.1,0,0,0,0,0,0,0,0,0,0,0,0,0.298068,0,0,0,0,0,0,0,0,0,0.208982,0,0,0,0,0,0.078915,0
XR_007754255.1,9.739652,13.081894,7.986058,19.540907,23.11009,18.519232,19.890871,14.080846,16.358749,3.048916,11.881868,9.358171,18.01668,8.020987,8.593117,2.749331,9.798405,6.791258,1.660203,4.892395,2.61516,5.220247,27.291796,3.684253,9.467112,11.432004,13.657543,4.786529,3.744874,4.776677
XR_007754169.1,2.637901,10.683887,26.565434,4.219798,30.787361,68.756721,4.15384,22.984434,26.33741,0,9.247337,14.550004,15.845979,16.195847,4.401145,14.191019,4.711181,15.48099,0.741324,3.868489,5.560156,2.646635,7.144567,10.795506,0.588834,1.568492,20.613729,1.059716,3.398574,3.672157
XR_007754060.1,0,0,0.008391,0,0,0,0,0,0,0,0,0,0.063267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012728,0
XM_050863826.1,0,0,0.370677,0,0.187501,0,0,0,0.119365,0.034005,0.113603,0,0.241438,0.13495,0,0.033672,0,0,0,0,0,0,0,0,0,0.0142,0,0,0.062051,0.054787
XM_050864487.1,0,1.447554,2.96997,0,4.366066,0,0.300175,3.319042,0.64211,2.292712,2.622772,0,2.615379,4.207415,0.321979,2.753258,5.875994,2.504675,0,0.336669,1.358564,2.990028,3.268099,5.340679,0,0,0,0,1.109863,0.249336
XM_050864567.1,0,1.204671,0,2.170191,0,2.931584,0,0,0,1.33559,1.053571,0.862445,0.790237,1.709858,2.119552,2.593675,0.73804,0.80257,0,0.228979,0.487503,1.459802,2.210179,1.200411,1.97124,0.72283,0,0,0.563018,0
XM_050864412.1,0.805789,3.566097,1.967704,15.062658,8.833846,8.117467,0.311877,2.575942,0.616282,2.023261,3.139801,3.811707,1.718048,1.766809,0,5.467883,2.990562,2.049169,0.187026,0,1.597588,1.11073,2.456242,2.38975,2.30247,7.981301,1.669341,0.212964,0,0.095518
XM_050864631.1,1.70499,1.089751,0.148348,0.828978,2.722614,0,2.71939,0.093638,4.550321,1.448415,1.16179,2.689361,0.864241,0,1.739639,1.019321,0,0.217704,1.208311,1.886801,0.063957,0.059723,0.426325,0,0,0.056369,1.729565,0.439702,0.066897,1.425367
XM_050865001.1,0,0.792123,0,0,0.209352,0,0,0,0.001991,0,0,0.004969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
