gene_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
LOC126980185,58.69,57.03,93.44,13.68,13.01,9.87,10.61,15.85,19.59,12.83,17.74,5.33,8.83,4.97,24.52,21.03,18.46,14.46,32.57,14.3
LOC126980186,11.73,9.32,11.97,9.25,8.73,5.79,6.18,5.69,12.68,10.94,10.01,3.93,3.17,3.05,2.18,5.07,2.89,2.13,3.1,1.56
LOC126980187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980188,1,2.34,0.52,3.46,2.36,1.44,0.92,1.55,0.37,0,1.53,0.51,0.5,0.23,0.86,2.08,1.84,0,2.37,1.08
LOC126980189,33.36,31.38,34.58,17.42,16.13,12.09,7.16,9.08,11.68,0.74,12.41,16.15,17.83,15.96,12.35,34.85,13.23,24.13,4.37,5.74
LOC126980190,0.12,0.1,0.08,2.27,2.42,1.46,1.92,1.95,3.22,1.12,2.41,1.49,0.94,1.79,0.18,0.1,0.47,0.1,0.03,0.13
LOC126980191,15.29,12.96,11.73,12.49,12.63,6.95,7.37,9.95,13.03,10.42,13.23,4.39,6.1,5.18,1.09,4.8,1.24,1.4,4.08,2.8
LOC126980192,0.71,1.16,1.41,3.9,4.05,3.26,4.44,5.46,2.75,2.62,3.3,1.89,1.5,1.39,3.63,2.6,2.24,3.86,5.19,4.21
LOC126980193,3.32,4.52,3.95,0.44,0.48,0.15,0.09,0.38,0.28,0.06,0.2,0.07,0.06,0.08,0.04,0.13,0.11,0.11,0.21,0.1
LOC126980194,17.55,31.26,14.71,20.48,14.11,12.65,11.28,20.37,12.97,8.88,14.21,4.31,6.15,6.32,2.95,7.71,7.61,5.14,13.08,11.46
LOC126980195,0,0,0,0.09,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0
LOC126980196,2.74,4.29,3.22,1.51,1.6,1.36,1.41,2.84,2.58,0.65,1.35,0.61,0.42,0.48,0.92,0.77,0.66,0.88,1.44,1.55
LOC126980197,0,0.13,0.17,0.04,0.11,0.11,0.03,0.15,0.27,0.02,0.18,0.02,0,0.02,0,0,0,0,0.04,0
LOC126980198,0,0,0.13,357.28,421.85,237.72,199.25,238.87,300.67,529.82,328.96,47.03,55.92,62.25,539.15,243.54,365.63,291.51,262.24,302.01
LOC126980199,0,0.09,0,0,0,0,0,0.08,0.05,0,0,0,0,0,0,0.05,0.06,0,0.04,0
LOC126980200,28.08,52.86,72.68,13.06,15.73,28.25,29.2,56.39,28.46,8.36,20.27,35.18,26.51,33.8,4.11,3.84,6.57,8.38,7.49,7.26
LOC126980201,4.93,9.94,11.58,6.71,6.94,5.99,6.22,10.59,14.06,3.91,10.41,2.62,2.69,2.26,1.49,1.99,1.83,1.54,2.76,2.44
LOC126980202,10.51,27.15,12.05,20.79,16.17,32.03,38.4,59.24,46.05,21.99,36.95,65.13,56.33,59.4,8.98,15.81,13.92,12.25,33.92,22.07
LOC126980203,0.3,0.38,0.3,0.94,0.97,0.81,1.26,1.69,1.71,0.69,1.08,0.49,0.51,0.22,0.14,0.18,0.2,0.19,0.19,0.15
LOC126980204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980206,0.1,0.16,0.07,1.36,1.48,39.66,50.09,50.95,1.29,1.77,1.7,200.07,73.65,158.33,1.51,0.44,44.52,32.34,0.23,59.46
LOC126980207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980208,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0
LOC126980209,0,0.07,0,0,0.15,0,0,0.12,0,0,0,0,0,0.06,0.1,0,0,0,0,0
LOC126980210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980211,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0
LOC126980212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980213,0,0,0,0,0.16,0.06,0.06,0,0,0,0,0,0.07,0,0,0,0,0,0,0
LOC126980214,0.07,0,0.18,0.12,0.32,0.15,0.31,0.44,0.6,0.14,0.19,0.21,0.11,0.34,0,0.04,0.05,0,0,0.07
LOC126980215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980216,7.07,9.27,15.02,7.43,6.67,4.92,5.11,6.63,2.74,1.81,3.28,4.88,4.77,2.79,0.65,1.6,2.87,1.85,0.66,2.89
LOC126980217,0,0.18,0.23,0.15,0,0.13,0.41,0,0,0,0,0,0,0,0,0,0.12,0.22,0,0
LOC126980218,0.35,0.44,0.36,0.17,0.09,0,0.06,0,0.53,0.29,0.34,0,0,0.14,0.33,0.36,0.37,0,0.57,0.1
LOC126980219,0.33,0.92,0.22,0.26,0.16,0.11,0.18,0.43,0.2,0.16,0,0.03,0.05,0.19,0.03,0.02,0.12,0,0.08,0
LOC126980220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980221,33.13,13.35,9.47,9.89,11.73,5.02,4.61,3.83,4.94,5.18,4.78,3.07,1.03,3.87,1.98,1.25,2.75,1.35,0.83,1.54
LOC126980222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980223,0,82.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980227,0.11,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
LOC126980228,2.73,3.52,0.57,0.56,0.57,0.67,0.36,0.68,1.28,0.32,0.15,0.18,0.11,0.46,0.31,0.38,0.55,0.09,0,0.57
