gene_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
LOC126980441,0,0,0,2.712806,2.842486,153.809113,191.618622,156.189865,164.613388,181.414688,148.483322,471.964661,254.394943,314.519226,109.622437,37.674953,185.443405,146.070175,111.144447,600.700928
LOC126980444,0,0.190914,0,0.876368,0.812941,238.984085,307.606445,227.884674,142.152161,189.859573,147.055237,398.846069,279.235016,400.948364,69.985718,132.959915,90.812836,126.015121,93.196556,333.761261
LOC126980450,0,0,0,3.404132,2.308156,15.628811,15.467504,14.013921,7.088466,6.699132,5.857709,7.569686,6.282554,7.244635,4.53574,1.946787,6.324456,4.547016,4.202628,11.239929
LOC126980451,0.047186,0.086488,0,20.863977,21.615995,315.26828,410.321259,308.068695,157.17009,132.653625,130.550201,352.95816,242.958069,320.882568,66.077934,50.640324,84.011101,150.300385,93.10482,307.084503
LOC126980519,0.865962,0.529831,0.498255,0.912575,0.606156,1.712503,1.22932,2.136648,2.535669,0.831903,1.487541,0.35689,0.48263,0.627625,0.080642,0.158581,0.264681,0,0.112642,0.123156
LOC126980556,0,0.46983,0,0.830594,0.232882,0.985383,1.468562,5.406339,10.770669,1.594942,6.106529,2.865523,2.84806,1.477612,1.267795,0.528621,1.205272,0.192055,3.985419,3.142274
LOC126980757,1.449319,1.145955,3.571072,0.066804,0.177516,0.164039,0.171117,0.140987,0.54966,0,0.145734,0.415119,0.349191,0.298386,0.160071,0.093449,0.740797,0.088145,0.215551,0
LOC126980763,13.513973,5.929284,10.881758,4.12552,4.873708,2.435246,1.859212,3.894959,3.196552,3.016209,2.541823,1.721585,2.795852,1.497224,2.314918,2.555919,2.899614,4.583235,2.245391,0.992505
LOC126980768,0,0,0.093805,0.216086,0.368519,0,0.232554,0.246173,0.433063,0,0.189285,0,0,0,0,0,0,0,0,0
LOC126980797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016892,0
LOC126980803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146353,0,0,0
LOC126981175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981303,0,0,0,0,0.15449,0.117496,0,0,0.631061,0.200757,0.155236,0,0,0.094412,0,0,0,0,0,0
LOC126981395,0,0,0,0,0,0,0,0.096844,0,0,0,0,0,0,0,0,0.082301,0,0,0
LOC126981617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126981619,0,0,0,0.939474,0.664405,0.366876,0.382695,0.146577,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982016,1.722444,4.466872,2.624935,6.85291,6.928886,1.656963,2.078811,1.765143,1.852531,1.040465,2.153911,0.488487,0.252704,0.400982,0.146441,0.46691,0.460999,0.119935,0.845946,0.325321
LOC126982019,0,0.078635,0,0.159471,0.076314,0.182495,0.096414,0.293424,0.117428,0,0.224984,0.02356,0.13165,0.13545,0,0.034663,0.104913,0,0.198314,0.222799
LOC126982030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982047,1.658796,0.905355,1.407649,0,0.5753,0.329173,0.448699,0.291124,0.162474,0.31888,0.455385,0,0.167691,0,0.201892,0.172061,0.146127,0,0,0
LOC126982051,0.890908,0.683218,0.36909,0.257947,0.490143,0.230314,0.207545,0.268497,0.173619,0.235337,0.09393,0.055418,0,0,0,0.060906,0,0,0,0
LOC126982164,0,0,0,0,0,0,0,0,0,0,0.501372,0,0,0,0,0,0,0,0,0
LOC126982168,0,0,0,0.27733,0,1.220228,1.75129,1.858619,1.063894,0.566234,0,0.577114,1.000642,0.953501,3.120533,2.340744,3.120686,7.547891,0,5.644498
LOC126982290,2.224371,2.551212,1.583089,49.759857,39.533257,54.856686,36.080666,82.383972,10.404868,9.382258,9.712189,3.397094,10.835481,11.566948,28.803812,34.334145,49.755196,155.970367,59.342094,209.554886
LOC126982300,3.605907,5.763422,6.881648,3.407289,4.154593,3.478381,4.153401,4.190229,4.029455,1.833389,3.804429,2.602445,2.135298,3.033222,0.225452,0.806632,0.430037,0.50666,0.92057,1.293994
