transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050829799.1,0.46,0.58,1.26,0,0.28,0,0,0,0.1,0,0,0,0,0,0,0,0.22,0,0,0
XM_050829800.1,0,0,0,0.15,0.25,0.37,0,0.46,0.86,0,0,0,0,0,0,0,0.21,0,0,0
XM_050829801.1,1,2.12,0.52,3.46,0.67,1.44,0,1.55,0.37,0,1.53,0,0.5,0.23,0.46,1.84,1.56,0,2.37,0.79
XM_050829802.1,0,0,0,0,1.69,0,0.92,0,0,0,0,0.51,0,0,0.4,0,0.28,0,0,0
XM_050829803.1,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.29
XM_050829804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829805.1,33.36,31.38,34.58,17.42,16.13,12.09,7.16,9.08,11.68,0.74,12.41,16.15,17.83,15.96,12.35,34.85,13.23,24.13,4.37,5.74
XM_050829806.1,0,0,0,0.71,2.42,0,1.69,0.82,0.48,0.94,0,0,0,1.79,0,0,0.47,0,0,0
XM_050829807.1,0,0,0,1.36,0,0.93,0,1.13,2.65,0,2.41,1.49,0.94,0,0.18,0.1,0,0.1,0,0
XM_050829808.1,0.12,0.1,0.08,0.2,0,0.53,0.22,0,0.09,0.17,0,0,0,0,0,0,0,0,0.03,0.13
XM_050829809.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829810.1,14.38,12.96,11.73,12.49,12.63,6.95,7.37,9.95,13.03,10.42,13.23,4.39,6.1,5.18,1.09,4.8,1.24,1.06,4.08,2.8
XM_050829811.1,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,0
XM_050829812.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829813.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829814.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829815.1,0.05,0.23,0.53,0,0.28,0.18,0.22,0.4,0,0,0,0.11,0.29,0.1,0.08,0.2,0.21,0.09,0.18,0.24
XM_050829816.1,0,0.23,0,0,0,0,0,0,0.17,0,0,0,0,0.1,0,0,0,0,0,0
XM_050829817.1,0,0,0,2.24,2.17,0,4.22,3.52,0,2.62,3.3,0.54,1.21,0,3.55,2.4,0.88,3.76,5,2.54
XM_050829818.1,0.25,0.38,2.54,1.69,0.17,1.53,2.1,1.63,2.57,0.76,1.76,1.09,1.84,1.38,0.14,0,0.52,0.05,0.84,0
XM_050829819.1,0.66,0.69,0.88,1.47,1.6,3.08,0,1.53,2.58,0,0,1.24,0,1.19,0,0,1.15,0,0,1.43
XM_050829820.1,0,0,0.21,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829821.1,1.04,2.12,1.73,0.44,0.11,0.11,0,0.31,0.11,0,0,0.07,0,0.08,0,0.06,0,0,0.13,0.05
XM_050829822.1,0.26,0.18,0,0,0,0.05,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
XM_050829823.1,2.01,1.98,2.01,0,0.23,0,0,0.07,0.15,0,0.1,0,0,0,0,0.01,0.11,0.11,0,0
XM_050829824.1,0,0.24,0,0,0,0,0.09,0,0.03,0.06,0,0,0.06,0,0.04,0.06,0,0,0.09,0.05
XM_050829825.1,17.55,31.26,14.71,18.92,14.11,11.57,9.45,18.72,12.19,8.88,14.21,4.31,5.57,5.28,2.48,6.98,7.61,5.14,13.08,10.41
XM_050829826.1,0,0,0,1.55,0,1.08,1.83,1.65,0.77,0,0,0,0.58,1.04,0.47,0.73,0,0,0,1.04
XM_050829827.1,0,0,0,0.09,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.03,0
XM_050829828.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829829.1,1.53,3.32,2.2,1.22,1.31,0.35,0.37,1.98,0.61,0.47,0.5,0.26,0,0.31,0,0.32,0.34,0.87,0.25,0.5
XM_050829830.1,0,0.13,0.17,0.04,0.11,0.11,0.03,0.15,0.27,0.02,0.18,0.02,0,0.02,0,0,0,0,0.04,0
XM_050829831.1,0,0,0.13,357.28,421.85,237.72,199.25,238.87,300.67,529.82,328.96,47.03,55.92,62.25,539.15,243.54,365.63,291.51,262.24,302.01
XM_050829832.1,0,0.09,0,0,0,0,0,0.08,0.05,0,0,0,0,0,0,0.05,0.06,0,0.04,0
XM_050829833.1,28.08,52.86,72.68,13.06,15.73,28.25,29.2,56.39,28.46,8.36,20.27,35.18,26.51,33.8,4.11,3.84,6.57,8.38,7.49,7.26
XM_050829834.1,0.24,0,0.4,0,0,0,0,0,0,0,0,0,0.29,0,0.21,0,0,0,0,0
XM_050829835.1,4.93,9.94,11.58,6.71,6.94,5.99,6.22,10.59,14.06,3.91,10.41,2.62,2.69,2.26,1.49,1.99,1.83,1.54,2.76,2.44
XM_050829836.1,10.51,27.15,12.05,20.79,16.17,32.03,38.4,59.24,46.05,21.99,36.95,65.13,56.33,59.4,8.98,15.81,13.92,12.25,33.92,22.07
XM_050829837.1,0.3,0.38,0.3,0.94,0.97,0.81,1.26,1.69,1.71,0.69,1.08,0.49,0.51,0.22,0.14,0.18,0.2,0.19,0.19,0.15
XM_050829838.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829839.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829840.1,0.1,0.16,0.07,1.36,1.48,39.66,50.09,50.95,1.29,1.77,1.7,200.07,73.65,158.33,1.51,0.44,44.52,32.34,0.23,59.46
XM_050829841.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829842.1,0,0.44,0,0,0,0,0.6,0,0,0,0,0.53,0,0,0.05,0,0,0,0,0
XM_050829843.1,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0
XM_050829844.1,0,0.07,0,0,0.15,0,0,0.12,0,0,0,0,0,0.06,0.1,0,0,0,0,0
XM_050829845.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829846.1,0,0,1.2,0,0,0.27,0.78,0,0,0,0.43,0.18,0.47,0,0,0,0.4,0.31,0.23,0.36
XM_050829847.1,0,0,0,0,0.16,0.06,0.06,0,0,0,0,0,0.07,0,0,0,0,0,0,0
XM_050829848.1,0.07,0,0.18,0.12,0.32,0.15,0.31,0.44,0.6,0.14,0.19,0.21,0.11,0.34,0,0.04,0.05,0,0,0.07
XM_050829849.1,7.07,9.27,15.02,7.43,6.67,4.92,5.11,6.63,2.74,1.81,3.28,4.88,4.77,2.79,0.65,1.6,2.87,1.85,0.66,2.89
XM_050829850.1,0,0.18,0.23,0.15,0,0.13,0.41,0,0,0,0,0,0,0,0,0,0.12,0.22,0,0
XM_050829851.1,0.35,0.44,0.36,0.17,0.09,0,0.06,0,0.53,0.29,0.34,0,0,0.14,0.33,0.36,0.37,0,0.57,0.1
XM_050829852.1,0.33,0.92,0.22,0.26,0.16,0.11,0.18,0.43,0.2,0.16,0,0.03,0.05,0.19,0.03,0.02,0.12,0,0.08,0
XM_050829853.1,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0
XM_050829854.1,33.13,13.35,9.47,9.89,11.73,5.02,4.61,3.83,4.94,5.18,4.78,3.07,1.03,3.87,1.98,1.25,2.75,1.35,0.83,1.54
XM_050829855.1,0.11,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0
XM_050829856.1,0,0,0,0,0,0,0,1.23,0.77,0,0.9,0,0,0,0,0,0,0,0.38,0
XM_050829857.1,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829858.1,0,0.13,0.06,0,0,0,0,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0
XM_050829859.1,52.3,40.26,43.07,28.99,29.34,18.38,17.4,19.18,18.52,22.63,20.73,4.01,5.57,3.34,10.82,11.64,11.37,11.21,13.2,13.93
XM_050829860.1,11.49,26.73,5.12,20.59,19.2,35.32,29.63,28.15,38.2,49.76,52.81,22.47,26.06,23.22,129.09,110.83,127.23,53.32,63.79,53.18
XM_050829861.1,7.04,9.2,8.6,9.36,8.49,10.9,20.94,24.55,39.21,24.44,26.64,7.88,23.7,11.16,76.24,92.04,71.18,15.06,38.79,32.21
XM_050829862.1,1.76,1.52,1.12,4.25,4.83,6.28,7.24,6.03,8.09,7.74,6.99,3.99,3.4,2.41,7.4,5.34,5.67,9.36,5.61,5.69
XM_050829863.1,0,0.64,0,0.24,0.23,0.75,4.35,0.89,2.19,1.88,0,0,1.32,0,0,0,0.29,0,0.43,0
XM_050829864.1,0,0,0,322.74,357.04,0.21,0.32,0.03,0.08,0.07,0.31,0.7,0.16,0.19,0.05,0,0,0,0.03,0
XM_050829865.1,0,0,0,38.03,39.79,0.06,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0
XM_050829866.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829867.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829868.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829869.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829870.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050829871.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
